id,type,text1,text2,text3,text4,text5,notes
#CUSTOM_DESCRIPTIONS,,,,,,
eusan_nation_buyan_planet,CUSTOM,"A toxic planet that was once the capital of the original rulers of the star system headquartered in a massive opulent palace held up above the corrosive clouds by antigravity units. When the uprisings in Heimat began, the main coordination for the Imperial response was directed from the Imperial Palace. As the war progressed the Palace was expanded to include military defenses, manufacturing, shipbuilding and repair. For decades they held out against the revolutionary forces who slowly wore them down until the final battle destroyed the palace and killed the Last Empress. Now its just another planet with resources ripe for exploitation.",,"Floating habitation stations dot the upper parts of the atmosphere. Down below, connected to the hab stations via reinforced bands of metal, composites and elevator cabs, various mining operations occur. The spaceport juts out like a defiant finger towards the sky, surrounded by cargo ships and military vessels alike. If one might look close, the remains of the old Imperial Palace can be seen, its wrecked towers jutting out from the clouds.",,
eusan_nation_vineta_planet,CUSTOM,"The crowning glory of a long gone terraforming cabal. Vineta in its prime had a population in the several hundred millions with vast cities and skyscrapers that touched the sun. When the Revolution reached Vineta, it became the site of numerous battles both on and above the planet with both sides attempting to wrest the planet from the other's control. Decades of war and intentional planetary destruction have drowned the planet in water. With all the major cities destroyed or flooded, the last remaining habitable areas are badly overcrowded. To ease the resource strain and improve logistics, the Nation have begun relocating Vinetans to Rotfront.",,"A beautiful blue planet covered in vast oceans of water, dotted with several landmasses. At nighttime, a patchwork network of lights reveal the main centers of habitation. Beautiful from orbit, the reality on the surface is less glamorous. Looking at the sky, one can see unaided the massive continent sized chunks of the Shattered Moon. On the ground, the  remains of skyscrapers, skeletons of buildings and flooded infrastructure tell a sordid story of its past splendor. One can't help but wonder if the war was worth the destruction to such a paradise. The Nation certainly believes so and the people still living in the last remaining areas of dry land probably can't say much lest they attract the ire of the Protecktors.",,
eusan_nation_shattered_moon,CUSTOM,"Cracked decades ago by a powerful Imperial weapon, the moon hangs dead above Vineta. Once teeming with mining operations, manufacturing sites, research labs and habitation stations the murdered moon now hangs silent above Vineta. Recovery and salvage expeditions are discouraged by the Nation due to the sheer amount of debris surrounding the moon.",,"Any navigation computer will have issues trying to comprehend the sheer amount of debris surrounding the only moon of Vineta. Once a outpost of progress for Vineta's future, the broken and dead moon is a grave site to those who died as the moon vibrated itself to death from the Imperial weapon that struck it. Those who did survive were left behind as the debris were too thick to allow rescue craft to approach. The Nation left behind a series of automated beacons to warn any craft not to approach. ",,
eusan_nation_kitezh_planet,CUSTOM,"Colonized around the same time as Vineta, Kitezh was given the same terraforming treatment but was never able to fully replicate the same conditions produced on Vineta. Conditions were barely considered good enough for farming and mining but despite this, Kitezh later became well known for its vast industrial farms and raw materials. The war between the Nation and Empire have damaged the fragile ecosystem and the once productive farmland now outputs a fraction of previous eras. Farmers now have to deal with deadly sandstorms, increased encroachment of the red desert sands and the uncompromising output quotas demanded by the Nation.",,"For a long time during the war, the Imperial Fleet held Kitezh with relative impunity. The vast quantities of food and resources produced here fed the Imperial military and provided a vital base for enforcing the Vineta blockade when the planets are at the closest approach every other year. Of course the end of the war meant the end of Imperial control and the population that survived the grueling ground war was treated with severe disdain as collaborators without distinction between willing or unwilling accomplices. The farms that were so productive now are a shadow with ruined structures jutting out of the red sands like fingers, pointing at the sky as if it knew who destroyed it. ",,
eusan_nation_gas_giant1_planet,CUSTOM,"A massive gas giant who's main defining feature is a giant, crimson colored anti-cyclonic storm system in the high pressure regions. Known as the 'Red Eye', it is subject to many folklore. For many on Rotfront the Red Eye's unblinking, penetrating stare is often likened to the pervasive surveillance and hardships experienced by the colonists of Rotfront. Every year the citizens of Rotfront celebrate Mondfest where students are gifted red-painted coins. Officially it symbolizes the blood spilled by the original revolutionaries but some have remarked it just colored to make the coins look more like the 'Red Eye'. Local authorities have tried to stamp this out unsuccessfully and some administrators are content to letting it slide, much to the frustration of Heimat's far away rulers.",,,,
eusan_nation_rotfront_planet,CUSTOM,"Rotfront is the main colonial effort by the Nation to ensure the Eusan people have a place to call a home. With Vineta's remaining landmass overcrowded and under heavy pressure to support human life, the Nation has elected to move a large portion of colonists to Rotfront. Limited and crude terraforming by the Nation have improved its habitability by a small percentage. Large cities have cropped up in the cold expanse of Rotfront with infrastructure to support a growing population. The constant rain, slurry and cold temperatures on Rotfront have not helped make life easier for the colonists, already having to contend with pervasive surveillance and intimidation by the local Protecktor units.",,"Any visitor to this planet will always comment on how depressing it looks from orbit and up close. Large apartment blocks dominate the main cities, connected by a expansive network of metro trains connecting the habitation blocks to the main city centers and industrial areas. The joke by the locals always comment how weather reflects life on Rotfront, dreary, oppressive and colorless. Though most people who live here work in the government run factories, a few private businesses at the habitation blocks provide some services. If one were to try to visit these hab blocks, there is a very high chance that a STAR type security Replika will try to shoo you away or escort you back to the designated visitor areas",,
eusan_nation_gas_giant2_planet,CUSTOM,"A massive gas giant known for its very distinctive rings. Scientists theorized several million years ago an icy moon broke apart by some unknown event, creating the ice rings that this gas giant is so famous for. Nearby Heimat often send ice mining ships to harvest the ice as well as capture some of the miniature moons known for their ice content. For those living on Heimat, the mining ships are a source of life, complementing the existing water sources pumped from below the planet. Despite this, water rationing is strictly enforced for the average citizen with only those who are part of the Nation's ruling party being allotted a significant increase of water rations while the inner circle of the Nation's government having access to unlimited supply of fresh water.",,,,
eusan_nation_heimat_planet,CUSTOM,"Once a minor mining planet, a worker uprising culminated with the rise of a new Revolutionary government, led by the Great Revolutionary and her Daughter. After successfully overthrowing the local colonial government, the revolutionaries established the newly created Eusan Nation's capital on Heimat. The Nation then expanded its infrastructure to become the central focus of its 'liberation war', becoming its primary weapons production, shipbuilding and military command hub. Since the end of the War it has become the primary capital world of the star system. Everything that happens, ever decision, every move made by the Nation is deliberated, planned and executed in Heimat.",,"Landing at the main spaceport near the capital, visitors will be greeted by large propaganda posters proclaiming  ""Heimat - Herz De Revolution"". The massive capital city is even far more grander, with skyscrapers and buildings. Monuments glorifying Great Revolutionary, Her Daughter, martyrs of the Revolution, military victories, and famous people dot the streets, illuminated by large spotlights. The might and splendor of the Nation is full display. However if one looks hard enough, you can see cracks in the facade.",,
eusan_nation_leng_planet,CUSTOM,"The outermost planet of the system and the furthest inhabited colony of the Nation. Leng's natural resources and remoteness have made it a prime candidate for colonial expansion for both willing and unwilling citizens of the Nation. For those who committed crimes against the Nation or simply judged problematic, there is a place to redeem themselves and to do their duty to the Nation as productive citizens. The ""Arbeits und Erziehungsorgan der Nation's"" (AEON) S-23 Sierpinski Mining Facility is the most infamous of these work facilities being well known for harsh conditions and uncompromising vigilance of its Replika Protecktor units.",,"Remote and unforgiving. Leng is the place everyone dreads to go. The orbital is the only link to the facilities below, hidden from the dangerous solar radiation that kisses the surface of Leng. Underground facilities house workers of all sizes, shapes and the local Protecktor force is exceptionally well equipped to handle threats to internal security. Anyone who visit is going to comment on the number of Replikas working alongside their human counterparts.",,
eusan_nation_wrecked_station,CUSTOM,"An orbital station built during the colonial era as part of a series of transfer and storage points for terraforming Vineta. When the Empire arose, the station was rebuilt to address its age and convert it to more trade oriented aspects. During the war between the Nation and Empire, the station changed hands multiple times. Brutal hand to hand fighting occurred within its hallways. After the moon was shattered from an Imperial strike, the station suffered severe damage from debris from the moon and abandoned. Now its damaged hulk orbits around Vineta.",,"The wreckage of the station dissuades many from docking but those who actually braved the wreck found out that the station still has power. With enough work, the station was made operational and useful for those needing a place to store equipment for low cost or away from prying eyes.",,
eusan_nation,FACTION,"The Eusan Nation, or simply known as the Nation is a semi-isolated state of precarious stability. It is the undisputed victor of a violent, multi-decade war against its hated enemy and former ruler, the Empire. The Nation grew from a localized miner revolt to a vast military power capable of projecting power. After its victory, the Nation embarked on program to build its newfound state. Through mass surveillance, forced relocation of undesirable elements, propaganda, and repression, the Nation seeks to rebuild an economy strained by war and reshape society to its vision of the future. From the glittering capital of Heimat, the promise of a glorious future proclaimed by the propaganda posters seems to ring true, the Nation will succeed. For places outside of the capital planet, things are less happy. From the endless rains on Rotfront, harsh conditions of Leng, and the flooded ruins of Vineta, the Nation has a long ways to go. For the rest of the sector looking from far away, the Nation is living off borrowed time. Sooner or later, the people will tire of the endless promises of a worker's utopia and take matters to their own hands.",,,,
,,,,,,
#FRIGATES,,,,,,
eusan_nation_penrose,SHIP,"The Penrose is the Nation's premiere exploration scout craft. Envisioned as a low cost exploratory vessel, these ships were built in large numbers and sent on exploratory missions outside of the star system. The primary mission set for the Penrose Program is exploring the deep reaches of outer space. Crews were expected to search for either habitable or resource rich worlds. If a world meeting the requirements have been found, they were given the choice of landing on it and to commence surface operations to prepare it for follow up colonization efforts. As deep space exploration is rife with unknown variables, each Penrose craft are equipped with several years worth of consumables, spare parts and entertainment meant to keep its 2 person crew comfortable for the duration of the mission. The crew of the Penrose consists of a single Human or Gestalt Flight Officer from the Volksmarine and a Replika android, often a LSTR type for repair and general maintenance of the Penrose.

The exploration mission is split into 3 Phases, with each phase being a set amount of time spent in transit. Phase 1 represents the initial transit to the outer edges of the star system. Phase 2 represent the active exploration phase and Phase 3 represents the extended duration exploration phase.

Over the years, the Penrose Program has been heavily promoted by the Nation as a source of pride, being a peaceful exploration program launched during the war against the Empire. Outside observers have cynically noted the rather vainglorious nature of the program, duly stating that dozens of these craft are sent into the void to search for planets and new worlds but very few have discovered new worlds and none have every come back.",,,,
eusan_nation_wachtel,SHIP,"The Wachtel is a simple sensor craft, often used by the Volksmarine as a patrol ship or a sensor scout for larger fleet formations. Their mere existence in combat makes them a juicy target for missiles or ships wanting an easy kill. Smart commanders will usually keep these ships behind the main contact line. Daredevil commanders or the ship's own crew might gamble on their relative weakness by pairing with a more powerful warship for protection",,,,
eusan_nation_copthorne,SHIP,"Hostile encounters with other major power's fleets and their fighters led to the creation of a dedicated anti-fighter escort ship. The term escort ship is often an exaggeration as it is simply an upsized version of an existing bomber design with anti-air turrets attached. Given a more power sensor suite and battle management system allows this converted design to be major threat to fighter screens and massed missile attack. Copthornes are often found escorting larger ships as a picket craft, providing area defense for fleet formations.",,,,
eusan_nation_pelikan,SHIP,"The current standard atmospheric capable cargo shuttle employed by the Nation including the Volksmarine and AEON. These cargo shuttles are workhorses, transporting cargo from one place to another. Sometimes an enterprising commander will try to use it for things outside of hauling cargo.",,,,
eusan_nation_lerche,SHIP,"Lerche frigates are torpedo frigates of an older class. Built by the Volksmarine, these ships often operate in packs, providing massed missile and torpedo attack in support of the main fleet.",,,,
eusan_nation_tyrann,SHIP,"An odd frigate design, these ships are generalists, providing the fleet with a dependable and well armed frigate capable of doing many roles.",,,,
eusan_nation_pisagua,SHIP,"An ungainly looking cargo ship, the Pisagua cargo shuttles form the bulk of the super heavy, atmospheric capable cargo shuttle fleet. Most Volksmarine commanders would see these ships as a liability but certain fleet commanders will try to take advantage of its super heavy capabilities for landing operations.",,,,
eusan_nation_iltis,SHIP,"The smallest frigate vessel able to be called one, its more often called a missile boat or an oversized fighter by less appreciative officers. These ships escort larger warships and provide the Volksmarine with a cheap, easily produced ship capable of delivering significant firepower without the cost of more specialized hulls.",,,,
#DESTROYERS,,,,,,
eusan_nation_tremore,SHIP,"Built as a general purpose missile destroyer, Tremores operate as part of a larger fleet providing antiship capability for fleet. The Volksmarine ordered a very large number of them, with several dozen built per batch. As of c.201, over 100 of these ships have been built and have numerous upgrades and configurations have been sighted.",,,,
eusan_nation_cantor,SHIP,"One of the newer generation of warships being produced for the Volksmarine, the Cantor represents the a new design philosophy, moving away from the winged designs endemic to the current generation of Volksmarine ship designs. Originally classified as a frigate, the size and firepower of the ship led to it being reclassified as a destroyer. These ships are intended to be the new standard fleet destroyer and to be built in very large numbers.",,,,
eusan_nation_trevivian,SHIP,"A general purpose destroyer design used often for fleet escort duties, acting as flagships to patrol squadrons or leading frigate flotillas against enemy formations. Trevivians are not exactly powerful ships compared to others similarly sized ships but they have enough firepower to destroy smaller ships with ease.",,,,
eusan_nation_triglav,SHIP,"a large missile destroyer centered around a single massive missile launcher. Designed to kill warships heavier than itself, its often mistaken for a standard destroyer but its firepower is well in excess of what the hull can hold.",,,,
eusan_nation_riems_tanker,SHIP,"Riems are the Nation's most common cargo tug. Whenever the Nation is, you will seem a Riems. This variant of the Riems carries a specialized fuel tank and equipment for loading and offloading antimatter fuel.",,,,
eusan_nation_riems_freighter,SHIP,"Riems are the Nation's most common cargo tug. Whenever the Nation is, you will seem a Riems. This variant of the Riems carries a cargo pod designed to hold supplies, materials or other goods.",,,,
#CRUISERS,,,,,,
eusan_nation_comoros,SHIP,A general purpose cruiser of the Volksmarine. These ships are general purpose warships meant to be a workhorse design. Meant to operate as part of the fleet or by itself for long range missions.,,,,
eusan_nation_engollan,SHIP,"The primary missile cruiser of the Volksmarine. These ship are the backbone of the Volksmarine cruiser designs. Solid and powerful, they often are seen as part of larger battlegroups providing long range missile fire to fleet engagements.",,,,
#CAPITALS,,,,,,
eusan_nation_revolution,SHIP,"During the war against the Empire, the need for capital warships was viciously demonstrated. Numerous times the Volksmarine was outgunned by the more powerful Kaiserliche Marine which led to hideous losses for the Nation's space forces. The early attempts to build battleships were crude, often rebuilt or refitted bulk cargo ships with guns. As time went on newer designs came into service, often incremental improvements to existing ships. The Revolution class of battleships are a third generation design, designed and placed into service in the last decades of the war against the Empire. With six separate missile batteries, the ship can lay down a withering hail of missiles that can overwhelm even the best defense systems of a comparable sized ship.

By the end of the war, 24 of these ships were built by the various orbital shipyards capable of building them. An additional 20 more were built in the years following it, replacing the older conversions. Although the ships themselves are considered the pride of the Nation, a newer battleship design is being placed into service and the Revolution's time as the premiere battleship design of the Nation seems to be numbered.",,,,
eusan_nation_admiral,SHIP,"The next generation battleship design built by the Nation for the Volksmarine. Post-war efforts to modernize the Volksmarine went full swing, using technology from captured Imperial ships and recovered engineering data from the ruined Imperial Palace on Buyan. Unlike the Revolution class, the Admirals revert to a more gun oriented platform with a respectable missile battery. The future of these ships are assured as roughly 32 are planned for construction over the next 20 years, slowly replacing the older ships in service.",,,,
eusan_nation_vilm,SHIP,"The standard armed cargo ship used by the Nation to carry supplies and convey trade goods to other nations. Post war attempts to reestablish trade routes ended in violence as better equipped pirate forces caused numerous casualties. The Vilm was designed in response, providing a powerful armament that often gives a nasty surprise to would be pirates.",,,,
eusan_nation_kanal,SHIP,"The standard tanker used by the Nation to carry fuel for convoys and warships of the Nation. Post war analysis of future deep space operations led to the creation of a purpose built tanker to sustain operations far away from the system.",,,,
#IMPERIAL SHIPS,,,,,,
eusan_nation_isolde,SHIP,"The standard Imperial cruiser in the latter half of the war. Where the Jagd-class destroyers made up the main Imperial Fleet, the Isoldes were the hammer that  enforced Imperial rule. During the war dozens were commissioned on Buyan's Imperial shipyards, assuming the role of capital ship for the Imperial Fleet. These ships inflicted horrific losses on the Nation's Volksmarine flotillas, achieving a positive kill ratio until the end of the war. Despite the deployment of heavily armed battleships by the Nation, the Empire often avoided outright ship to ship combat with the Volksmarine battleships. Preferring to strike at weak areas, they caused considerable damage to the Nation's effort to reinforce and resupply liberation forces on Vineta. At the end of the war, most of the surviving cruisers escaped into the void with their escorts. Very few cruisers were captured and a portion were dismantled for their secrets.",,,,
